0,0.25,100
0,-17.75,100
0,-35.75,100
4,-40,100
12,-44,100
13.5,-53.75,100
4.5,-62.75,100
-4,-60,100
-13.5,-53.75,100
-8,-40,100
-4.5,-35.75,100
9,-26.75,100
20,-32,100
13.5,-44.75,100
13.5,-44.75,100
32,-44,100
27,-58.25,100
13.5,-53.75,100
13.5,-53.75,100
24,-64,100
18,-76.25,100
4.5,-62.75,100
4.5,-62.75,100
8,-80,100
-9,-76.25,100
-4.5,-62.75,100
-4.5,-62.75,100
-16,-76,100
-27,-67.25,100
-13.5,-53.75,100
-13.5,-53.75,100
-28,-56,100
-27,-40.25,100
-13.5,-44.75,100
-13.5,-44.75,100
-20,-32,100
-9,-26.75,100
-2,-34,100
